Distance,Comparison,pseudo_F,p_value,BH_adjusted_p
Bray-Curtis,NC vs PC,0.9793420036866638,0.4175,0.4907
Bray-Curtis,NC vs G25,1.358610656301519,0.2021,0.30315000000000003
Bray-Curtis,NC vs G50,1.6473191550689326,0.0943,0.2829
Bray-Curtis,PC vs G25,1.3052839507707938,0.2015,0.30315000000000003
Bray-Curtis,PC vs G50,1.4666245947246206,0.0862,0.2829
Bray-Curtis,G25 vs G50,0.882636545448003,0.4907,0.4907
Unweighted UniFrac,NC vs PC,1.6161337668815035,0.1035,0.58632
Unweighted UniFrac,NC vs G25,0.998949918847724,0.4566,0.58632
Unweighted UniFrac,NC vs G50,0.9337531193777456,0.4886,0.58632
Unweighted UniFrac,PC vs G25,1.1782066260144075,0.2451,0.58632
Unweighted UniFrac,PC vs G50,1.0465825525052752,0.3515,0.58632
Unweighted UniFrac,G25 vs G50,0.7361921767526225,0.6797,0.6797
Weighted UniFrac,NC vs PC,1.9930950388265478,0.0856,0.13995
Weighted UniFrac,NC vs G25,2.182638866826979,0.0831,0.13995
Weighted UniFrac,NC vs G50,0.9356702411316821,0.4668,0.4668
Weighted UniFrac,PC vs G25,1.8926783137531404,0.0933,0.13995
Weighted UniFrac,PC vs G50,1.9212026800384083,0.0797,0.13995
Weighted UniFrac,G25 vs G50,1.2100147437839308,0.3353,0.40235999999999994
