Genus,Spearman_rho,Spearman_p,BH_p
Enterococcus,0.5672567494355795,0.034379933615168716,0.6340677695744706
Romboutsia,0.5609720627378995,0.03688610473708892,0.6340677695744706
Clostridia_UCG-014,0.5463583647081529,0.04323189338007754,0.6340677695744706
Gallibacterium,0.475044330460816,0.08605608305542231,0.9466169136096454
Turicibacter,0.43747906353845406,0.11773584297062506,0.9466619830884286
Dietzia,0.42572278795395535,0.12909027042114934,0.9466619830884286
Rothia,0.37973385706018126,0.180509343727277,1.0
Propioniciclava,-0.3728848393918367,0.18915008874515102,1.0
Paenibacillus,0.3460531880921834,0.2255177967610205,1.0
Brachybacterium,-0.2965462108549253,0.30323503409440894,1.0
Chloroplast,0.29351975428213717,0.3084311092607552,1.0
Corynebacterium,-0.27190819394432736,0.347002238370671,1.0
Unclassified,0.27190819394432736,0.347002238370671,1.0
Gardnerella,0.23665576769001928,0.41530274558145075,1.0
Facklamia,0.19569842191603268,0.5025406862736181,1.0
Lactobacillus,-0.19221096468478313,0.5103342679473862,1.0
[Ruminococcus]_torques_group,0.1807692307692308,0.5362821821445538,1.0
Deinococcus,-0.17910216695198453,0.5401102211295418,1.0
Christensenellaceae_R-7_group,0.17483467670660893,0.5499632517266758,1.0
Lachnospiraceae_NK4A136_group,0.16590301240125063,0.5708299326551708,1.0
Saccharimonadales,0.15844392576536437,0.5885023574882317,1.0
Blautia,-0.1556133581713964,0.595265526753418,1.0
Subdoligranulum,0.14230769230769233,0.6274596892333935,1.0
Leucobacter,0.13698889534122288,0.6405074695579518,1.0
Streptococcus,0.13610374379454032,0.642688399445503,1.0
Clostridium_sensu_stricto_1,0.1311260075299567,0.6550025331972253,1.0
Lactococcus,-0.11741905314961959,0.689327245101998,1.0
Paracoccus,0.11162243830500049,0.7040163369189228,1.0
Domibacillus,0.09982743731749957,0.7341991154684511,1.0
Lysinibacillus,0.09395523512235256,0.7493628622345354,1.0
Butyricicoccus,0.09132593022748192,0.756180225480715,1.0
Bacteroides,-0.08195375470622294,0.7806121160923414,1.0
Tissierella,0.07827936876641307,0.7902435917997939,1.0
Sedimentibacter,0.07827936876641307,0.7902435917997939,1.0
Veillonella,-0.06712486220795379,0.8196481047828773,1.0
Staphylococcus,0.030506011540155583,0.9175472155162151,1.0
Kocuria,-0.02855457724081408,0.9228068078694698,1.0
Aeriscardovia,-0.028252896560880668,0.9236201778888078,1.0
Peptococcus,-0.019230769230769232,0.9479737797069638,1.0
TM7a,0.017616606585441105,0.9523359528414366,1.0
uncultured,-0.014126448280440334,0.9617719786567178,1.0
Jeotgalicoccus,-0.01174440439029407,0.9682148377069778,1.0
JG30-KF-CM45,-0.002595870658255825,0.9929729759272486,1.0
Muribaculaceae,0.0,1.0,1.0
