Name,AUTOPHAGY_PROTEOSTASIS,ECM_ADHESION,GOLGI_VESICLE,RESPIRATION_OXPHOS
P1-2-JM-G25-R,-0.30699697365069345,0.35887250859262076,-0.25943556215954133,-0.14709810803167045
P1-3-JM-G25-R,0.4360737035175263,-0.31802143034018193,0.42152662707027133,0.21571991443061436
P1-4-JM-G25-R,-0.0465041871679637,0.16506848907882604,-0.0008874172953060172,0.25433466452729364
P1-1-JM-G50-R,-0.3334578231491099,0.39314312717959987,-0.3311959405982158,-0.20963506131265947
P1-2-JM-G50-R,-0.5442618577387505,0.5274073186148718,-0.5949647379192233,-0.5207466287629002
P1-3-JM-G50-R,-0.01931578740570382,-0.31400011578794074,-0.01981161766467142,-0.19119926931016518
P1-6-JM-G50-R,0.03690769125751571,0.23147250515931003,-0.024846757892359683,-0.38701290051173304
P1-7-JM-G50-R,-0.508096896078949,0.5205497605099414,-0.5212847976833913,-0.6115910974933008
P1-1-JM-NC-R,0.5137368176187492,-0.5917159271310568,0.49399043490889527,0.5909776840437136
P1-3-JM-NC-R,0.20714774748746118,-0.26068600754808824,0.22755835826172097,0.3611867813507886
P1-4-JM-NC-R,0.6635859272633013,-0.5845082752190591,0.6868494711836403,0.6115884466898214
P1-7-JM-NC-R,0.40934126709913576,-0.24645195430980882,0.5019059515193773,0.3749214171692553
P1-2-JM-PC-R,-0.4726690687020688,0.5096669561867321,-0.5111929686797095,-0.38425264473812837
P1-3-JM-PC-R,-0.14784872656308418,0.12535011622942815,-0.16040777345326224,-0.24773002096506358
P1-4-JM-PC-R,-0.18924268028807414,-0.08649134739776326,-0.2887413806429343,0.03324637106333986
P1-5-JM-PC-R,0.15621063915997116,-0.3752672193184235,0.1472100942989912,-0.0653342034675579
P1-7-JM-PC-R,-0.11639515430752559,0.06594214997055522,-0.11388179366343688,0.131969087832557
