,ECM_ADHESION,GOLGI_VESICLE,AUTOPHAGY_PROTEOSTASIS,RESPIRATION_OXPHOS
P1-2-JM-G25-R,0.33630475165201185,-0.19871754548251203,-0.2764005986604757,-0.06959838549674395
P1-3-JM-G25-R,-0.34098776604370323,0.4362630483460961,0.4755646486947238,0.16671132379257375
P1-4-JM-G25-R,0.10312611073608026,0.000868575935414862,-0.053320493147179314,0.19204040920591145
P1-1-JM-G50-R,0.29568516616770607,-0.27558769675082023,-0.295004591694291,-0.14012378720787994
P1-2-JM-G50-R,0.8366072719142542,-0.910671892342322,-0.786483099337744,-0.6930514749152258
P1-3-JM-G50-R,-0.22814973262479601,-0.04828122941713511,-0.0626996475958002,-0.14964716212090784
P1-6-JM-G50-R,0.17389992764087325,-0.07476601424897056,-0.033206098823932294,-0.464319460827765
P1-7-JM-G50-R,1.2154840792795285,-0.8666709832581833,-0.8167004976312053,-1.1786380145306674
P1-1-JM-NC-R,-1.1310224938629656,0.443007969944238,0.4668745288617075,0.7163168136364165
P1-3-JM-NC-R,-0.18789098183208577,0.11531665769632059,0.09327015967201398,0.2680159254687956
P1-4-JM-NC-R,-1.2263141053317892,2.0254191333136995,1.8846811440606395,1.5620993366157443
P1-7-JM-NC-R,-0.21785834957708095,0.4748663903840044,0.3535625390454926,0.35031169529662887
P1-2-JM-PC-R,0.7367551362803916,-0.6957115637601565,-0.6036797171251862,-0.4447262518148864
P1-3-JM-PC-R,0.048064809075466515,-0.11214349373378951,-0.11482592292449088,-0.13109175170403137
P1-4-JM-PC-R,-0.06895798720689938,-0.224267848514956,-0.1579568416758141,-0.02339322689457493
P1-5-JM-PC-R,-0.392348246905482,0.0497969414959557,0.04363100484721583,-0.07219962310344877
P1-7-JM-PC-R,0.04760241063849248,-0.13872044960686872,-0.11730651656567936,0.11129363460004159
