module,taxon,n_pairs,gsva_rho,gsva_pvalue,gsva_perm_pvalue,gsva_leave1out_median_rho,zscore_rho,zscore_pvalue,zscore_perm_pvalue,zscore_leave1out_median_rho
GOLGI_VESICLE,Turicibacter,17,-0.49614416663247396,0.04280555635441882,0.0415,-0.4680817385799242,-0.501879937344988,0.04009547414157377,0.0415,-0.47484104166411095
RESPIRATION_OXPHOS,Enterococcus,17,-0.4926470588235295,0.0445245262088992,0.0445,-0.4823529411764706,-0.49509803921568635,0.04331441650993542,0.047,-0.4735294117647058
RESPIRATION_OXPHOS,Romboutsia,17,-0.4615739884914515,0.062170441676442076,0.068,-0.4687089257108277,-0.4764634719911757,0.05316582140054383,0.055,-0.48065055439135834
AUTOPHAGY_PROTEOSTASIS,Turicibacter,17,-0.4330506887948183,0.08250077119833031,0.078,-0.4173869654485245,-0.4187112620135329,0.09437002332644238,0.0945,-0.40217853350910465
GOLGI_VESICLE,Romboutsia,17,-0.41938711857556615,0.09378456394696537,0.0915,-0.4090007823081745,-0.43675818265857774,0.07961686476971709,0.0835,-0.42691322532897047
RESPIRATION_OXPHOS,Turicibacter,17,-0.36995721095716266,0.14383982397272568,0.149,-0.33971930642977194,-0.3183352745445353,0.21303467449959831,0.2125,-0.2825034232415999
ECM_ADHESION,Turicibacter,17,0.347014128107106,0.17236262362310542,0.174,0.3075353721364252,0.32693893061330653,0.20023659167399468,0.1915,0.2825034232415999
AUTOPHAGY_PROTEOSTASIS,Romboutsia,17,-0.33501337874379544,0.18869278928206615,0.1755,-0.34630723173538863,-0.3374949593270828,0.18523520688068754,0.173,-0.32839478871459266
AUTOPHAGY_PROTEOSTASIS,Bacteroides,17,0.2991031039410072,0.24351732084226593,0.2385,0.2855805553068852,0.3279157882655997,0.198816033918465,0.2045,0.327342880393843
ECM_ADHESION,Romboutsia,17,0.2804186059114732,0.27562985850532934,0.2605,0.3045115313535314,0.24567647774544998,0.34187257885684963,0.3735,0.2657012381418068
ECM_ADHESION,Bacteroides,17,-0.2812666803114976,0.2741188572910726,0.289,-0.272245563891909,-0.2963590387672365,0.2480789540364777,0.258,-0.2906500326200252
GOLGI_VESICLE,Enterococcus,17,-0.27450980392156865,0.28629837865879204,0.2965,-0.2647058823529412,-0.2573529411764706,0.3186676476453988,0.3225,-0.24705882352941175
GOLGI_VESICLE,Bacteroides,17,0.2606861915082173,0.31221741978955686,0.309,0.25516369142804535,0.240105702704937,0.35327534724727844,0.3515,0.2331959564044388
ECM_ADHESION,Enterococcus,17,0.22303921568627455,0.3895228783967918,0.371,0.22352941176470587,0.2034313725490196,0.4335552308263205,0.434,0.19999999999999998
ECM_ADHESION,Lachnospiraceae_NK4A136_group,17,-0.2149637924132377,0.40735342871906477,0.401,-0.1944611170656493,-0.24946415415857212,0.3342416775558828,0.3335,-0.23335334047877915
AUTOPHAGY_PROTEOSTASIS,Enterococcus,17,-0.2034313725490196,0.4335552308263205,0.4275,-0.21176470588235297,-0.22794117647058826,0.3789105882694836,0.381,-0.2352941176470588
GOLGI_VESICLE,Lachnospiraceae_NK4A136_group,17,0.20169442251118597,0.4375756123629025,0.449,0.17278860521568132,0.20169442251118597,0.4375756123629025,0.419,0.17278860521568132
RESPIRATION_OXPHOS,Clostridia_UCG-014,17,-0.19107892658954462,0.4625588773332305,0.4595,-0.2009431543011709,-0.2760028939626756,0.28357930378747115,0.2745,-0.2819686197451915
AUTOPHAGY_PROTEOSTASIS,Lachnospiraceae_NK4A136_group,17,0.18311730464831358,0.48175245331130995,0.478,0.16853296812356275,0.21761766639364805,0.40144621404063124,0.3955,0.2074251915366926
RESPIRATION_OXPHOS,Bacteroides,17,0.18385236664263746,0.4799643118988345,0.4925,0.16391309979152582,0.15503968231804505,0.5524017551903418,0.549,0.1361227819459545
ECM_ADHESION,Clostridia_UCG-014,17,-0.14861694290297914,0.5691755225597612,0.565,-0.12880605116078062,-0.16188631280503085,0.5347644773123461,0.55,-0.14294330067842728
GOLGI_VESICLE,Clostridia_UCG-014,17,-0.11411658115764468,0.6627603985128525,0.679,-0.12639972609267205,-0.1459630689225688,0.5761693749536104,0.5695,-0.145845837799237
RESPIRATION_OXPHOS,Lachnospiraceae_NK4A136_group,17,0.09023171533395162,0.7305449677464164,0.723,0.0745434282084989,0.007961621941231024,0.9758067234023664,0.9765,-0.01727886052156813
AUTOPHAGY_PROTEOSTASIS,Clostridia_UCG-014,17,-0.031846487764924096,0.9034259282925889,0.9155,-0.03455772104313626,-0.05838522756902751,0.8238614773254517,0.8205,-0.05185629788417315
