SampleID,Observed,Shannon,Simpson,Faith_PD,Treat
P1.1.JC.G50,134,3.8727851980893964,0.9655254136047174,10.315815368500003,G50
P1.1.JC.NC,101,3.9595161511039896,0.9704625406139905,8.844357117500003,NC
P1.2.JC.G25,36,2.591874704669393,0.9014997695444609,5.637230625500001,G25
P1.2.JC.G50,146,3.4387217648496575,0.9367506870027582,13.182578555500003,G50
P1.2.JC.PC,212,4.326078854034643,0.9754066311775904,14.027278459500002,PC
P1.3.JC.G25,176,4.2576778269203315,0.9742357295626032,16.9565007875,G25
P1.3.JC.G50,124,3.8281222538502386,0.9623036843557604,16.048571221,G50
P1.3.JC.NC,101,3.5513316025199213,0.9541763124707955,9.242837444500001,NC
P1.3.JC.PC,180,4.306379269671039,0.9741863196336934,13.444452356500003,PC
P1.4.JC.G25,91,3.1023922954093255,0.9270590579400481,13.545919017,G25
P1.4.JC.NC,105,3.141199117737745,0.9308306265428673,9.377551540500003,NC
P1.4.JC.PC,281,5.318225499445013,0.9934262849634905,31.610786225000002,PC
P1.5.JC.G50,198,4.600088929550296,0.9835614889237873,14.823916551500002,G50
P1.5.JC.PC,337,4.473199044206806,0.9691856141976086,38.215480737,PC
P1.6.JC.G50,183,3.827623901443672,0.959372327018767,27.169289171999996,G50
P1.7.JC.G25,166,3.872885697493349,0.9589436619632503,14.9529383015,G25
P1.7.JC.G50,80,3.1039922628306966,0.9295269092714498,7.2255274755,G50
P1.7.JC.NC,169,4.083988988110124,0.9680881466991356,19.483830406,NC
P1.7.JC.PC,229,4.620700703434279,0.9798916678502836,22.0830419685,PC
