Phylum,P1.4.JC.NC,P1.3.JC.NC,P1.7.JC.NC,P1.1.JC.NC,P1.2.JC.PC,P1.5.JC.PC,P1.7.JC.PC,P1.3.JC.PC,P1.4.JC.PC,P1.2.JC.G25,P1.4.JC.G25,P1.7.JC.G25,P1.3.JC.G25,P1.7.JC.G50,P1.2.JC.G50,P1.6.JC.G50,P1.1.JC.G50,P1.3.JC.G50,P1.5.JC.G50
Firmicutes,0.9487246090706011,0.9681810589610823,0.8601203912716328,0.6762189325003395,0.8788555562262329,0.7250520027734813,0.9105768525984022,0.828798185941043,0.5715145436308927,0.9960149930952851,0.9117306299782766,0.8989487755970104,0.8296647740530451,0.9522720100978227,0.9752711657350165,0.8981850736550826,0.8552522255192878,0.8690330477356182,0.7719833119383825
Actinobacteriota,0.038755260013507195,0.02973108401536663,0.06726862302483069,0.32038571234551133,0.11776423009597392,0.02736145927782815,0.03745510518214469,0.15445665445665446,0.18906720160481444,0.003985006904714934,0.009341057204923968,0.02679710761378137,0.06844520494672163,0.04603187125276112,0.019842298152741272,0.04468137055424432,0.13626112759643916,0.0795593635250918,0.1329428754813864
Proteobacteria,0.01080575614317627,0.0009186570903624519,0.02859292701279157,0.00027162841233192993,0.0031387698436651174,0.07605738972745213,0.010115077329033204,0.014041514041514042,0.08425275827482448,0.0,0.005865314989138306,0.011362945858905026,0.01812242358248425,0.0,0.004294228704697738,0.0123707984048181,0.0063501483679525225,0.004895960832313341,0.06819640564826701
Bacteroidota,0.0,0.0,0.012114371708051165,0.0,0.0,0.03957544402368127,0.01832441545114711,0.0,0.061584754262788366,0.0,0.06357711803041274,0.03536489032022847,0.056233958155090615,0.0016961186494162195,0.0,0.03304305363392203,0.0,0.03148992989874263,0.0
Planctomycetota,0.0,0.0,0.0018058690744920994,0.0006790710308298248,0.0,0.03226838764734119,0.0,0.00017442874585731728,0.02357071213640923,0.0,0.0,0.006258734884851431,0.009644551606128957,0.0,0.0,0.005452917717913242,0.00041543026706231454,0.0,0.001684852374839538
Patescibacteria,0.0,0.0007516285284783699,0.016930022573363433,0.0,0.0,0.0209611179262894,0.007769552151286374,0.0006977149834292691,0.0022066198595787363,0.0,0.0,0.007230965546575925,0.0,0.0,0.00033317291674379005,0.0,0.0013056379821958456,0.005674863691999555,0.014922978177150194
Chloroflexi,0.001506571769962076,0.0,0.000526711813393529,0.0024446557109873692,0.0,0.01376073390580831,0.0013926555742871803,0.0005232862375719519,0.01785356068204614,0.0,0.0,0.0,0.005600062222913588,0.0,0.0002591344908007256,0.0012208024741596811,0.00041543026706231454,0.0,0.006418485237483954
Verrucomicrobiota,0.0,0.0,0.0019563581640331075,0.0,0.0,0.02624139954130887,0.0,0.0,0.014042126379137411,0.0,0.0,0.0034635717323935103,0.0,0.0,0.0,0.0,0.0,0.0033381551129409146,0.0012034659820282414
Deinococcota,0.0,0.0,0.004514672686230248,0.0,0.0,0.005653634860525895,0.003518287766620245,0.0,0.00802407221664995,0.0,0.0,0.007048672297502582,0.0018666874076378626,0.0,0.0,0.0,0.0,0.0,0.0014441591784338896
Acidobacteriota,0.0,0.0,0.0,0.0,0.0,0.016587551336071257,0.0,0.0,0.006820461384152458,0.0,0.0029688631426502536,0.0,0.0,0.0,0.0,0.0013835761373809717,0.0,0.0,0.0
Others,0.00020780300275338978,0.00041757140471020544,0.006170052671181339,0.0,0.00024144383412808595,0.01648087898021228,0.010848053947079087,0.0013082155939298796,0.02106318956870612,0.0,0.0065170166545981175,0.003524336148751291,0.010422338025978067,0.0,0.0,0.0036624074224790425,0.0,0.006008679203293646,0.0012034659820282412
