SampleID,Treat,Replicate,Axis1,Axis2,Axis3,CanonicalID
P1-1-JM-NC-R,NC,1,-44.45850208894913,4.598411978429161,-7.596906633447516,NC__R1
P1-2-JM-NC-R,NC,2,-58.6257124033837,12.959865600847785,-16.575222759905287,NC__R2
P1-3-JM-NC-R,NC,3,4.2958791369552785,-3.233650442043411,5.282060251827899,NC__R3
P1-4-JM-NC-R,NC,4,-51.097653554534844,4.105516221633118,42.85135098805199,NC__R4
P1-5-JM-NC-R,NC,5,-19.737500039824074,-1.993469136869022,4.595744772794316,NC__R5
P1-6-JM-NC-R,NC,6,2.9959990462616686,-3.1154712670347773,-4.778110541044807,NC__R6
P1-7-JM-NC-R,NC,7,4.8606334048862125,-10.756361847043769,9.494425233132056,NC__R7
P1-1-JM-PC-R,PC,1,-3.264511884063614,5.519111231205556,4.417117390328525,PC__R1
P1-2-JM-PC-R,PC,2,37.10496365536589,-16.264366426821752,1.8977262613934356,PC__R2
P1-3-JM-PC-R,PC,3,6.408537772173316,-1.3605774100740229,-6.977227529293878,PC__R3
P1-4-JM-PC-R,PC,4,-1.7515274235473186,1.1967949718011623,-4.045294569629086,PC__R4
P1-5-JM-PC-R,PC,5,-20.384251903105923,8.264322379134185,-11.922923765296991,PC__R5
P1-6-JM-PC-R,PC,6,12.766972572826345,-7.714487269239436,-2.382089857303889,PC__R6
P1-7-JM-PC-R,PC,7,6.415735803181343,-13.82660597870768,-13.020367551411898,PC__R7
P1-1-JM-G25-R,G25,1,-6.793912435809689,-4.285618569273509,-13.633729690924426,G25__R1
P1-2-JM-G25-R,G25,2,23.537261849838686,-11.363032069647671,14.028473108808932,G25__R2
P1-3-JM-G25-R,G25,3,-17.435312158190374,-1.4005195604786993,1.139257456892514,G25__R3
P1-4-JM-G25-R,G25,4,11.510857080222296,-13.167363531847103,1.5887241606293807,G25__R4
P1-5-JM-G25-R,G25,5,6.831347363800856,-7.602148922624787,-7.290600931204097,G25__R5
P1-6-JM-G25-R,G25,6,8.92773328787218,-11.355519690544812,-2.135046253360795,G25__R6
P1-1-JM-G50-R,G50,1,12.250913089623433,-4.752980659746049,-8.357172673485369,G50__R1
P1-2-JM-G50-R,G50,2,43.41468831031261,-9.371207453718403,8.828940512245495,G50__R2
P1-3-JM-G50-R,G50,3,-13.421363661450915,1.9541967470824888,-10.161219141368575,G50__R3
P1-6-JM-G50-R,G50,6,6.733551194106862,20.151078492278213,17.126691288656676,G50__R6
P1-7-JM-G50-R,G50,7,48.915173985432666,62.814082613303285,-2.374599527084511,G50__R7
