variable,unique_values_total,max_unique_within_group,all_groups_constant_within_group,group_unique_pattern
Blood_HL_ratio,3,1,TRUE,G25:1; G50:1; NC:1; PC:1
Creatinine_mg_dL,3,1,TRUE,G25:1; G50:1; NC:1; PC:1
EW_g,3,1,TRUE,G25:1; G50:1; NC:1; PC:1
Egg_yolk_color,3,1,TRUE,G25:1; G50:1; NC:1; PC:1
FCR_g_g,3,1,TRUE,G25:1; G50:1; NC:1; PC:1
Gly_supplement_pct,3,1,TRUE,G25:1; G50:1; NC:1; PC:1
Haugh_unit,3,1,TRUE,G25:1; G50:1; NC:1; PC:1
SID_GlySer_pct,3,1,TRUE,G25:1; G50:1; NC:1; PC:1
ALT_UL,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
AMEn_kcal_kg,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
AST_UL,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
Analyzed_Gly_pct,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
CP_analyzed_pct,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
EM_g,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
Eggshell_L_star,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
Eggshell_strength,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
FI_g_hen_d,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
Feather_CORT_ng_g,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
HD_pct,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
Hemorrhagic_score,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
Liver_L_star,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
Liver_a_star,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
Liver_b_star,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
Liver_color_score,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
Liver_fat_pct_DM,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
Uric_acid_mg_dL,4,1,TRUE,G25:1; G50:1; NC:1; PC:1
