Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,gene_biotype
ENSGALG00010006366,27.026007186293644,3.280991501483024,0.6775076226725736,4.842737397611044,1.2806248958243859e-06,0.005477552835664854,CCNA1,protein_coding
ENSGALG00010027337,267.41861475637165,2.4863860201836956,0.5575995872608198,4.459088702697832,8.23088550730421e-06,0.020117460020638248,AQP1,protein_coding
ENSGALG00010004980,59.30530485437896,3.5091665319626455,0.7063510775925836,4.968020356000219,6.763986381823798e-07,0.003857501433554112,FNDC1,protein_coding
ENSGALG00010015494,33.987172803635715,3.2979300508449843,0.7739312812415026,4.261269870827041,2.0326859566796154e-05,0.0340829434551617,CHRDL1,protein_coding
ENSGALG00010017470,1246.8564932174477,1.8919004645010637,0.41651588930503325,4.5422047827701,5.5668923985879135e-06,0.016200780654264606,HSPA2,protein_coding
ENSGALG00010021763,1697.0298508017886,-2.002821021675011,0.2606058571882462,-7.685249454037757,1.526991648995378e-14,2.6125300122661923e-10,RP11-400G3.5,protein_coding
ENSGALG00010020677,126.76081303556322,3.2777573743517108,0.7722457615486076,4.244448513098636,2.1913167222326184e-05,0.0340829434551617,CYR61,protein_coding
ENSGALG00010024234,49.35817943554696,2.9389149882092473,0.6982927619911076,4.208714665506834,2.5682746253880365e-05,0.03661717547146993,ARHGEF4,protein_coding
ENSGALG00010023149,165.67069303921127,3.156390238040985,0.6058310884699187,5.210016947153925,1.8882338295257186e-07,0.0016152896294677759,ADGRD1,protein_coding
ENSGALG00010029353,45.55356053377478,5.569669648210744,1.2273649493812369,4.5379083466727925,5.681494179998109e-06,0.016200780654264606,GCGR,protein_coding
ENSGALG00010029470,362.3523068539653,4.984323652784584,1.1687772945826487,4.2645623557945695,2.0029440347526754e-05,0.0340829434551617,SSTR2,protein_coding
ENSGALG00010027636,51.79179978460416,5.09998433342608,1.2293246490687983,4.148606584346347,3.345050993521042e-05,0.040878912462965364,SLC1A6,protein_coding
