sample,Treat,Replicate,outlier_flag,point_shape,label_color,Dim1,Dim2
P1-1-JM-NC-R,NC,1,FALSE,Regular,Regular,-1.2840744340158359,-0.07690641461846918
P1-2-JM-NC-R,NC,2,TRUE,Outlier,Outlier,-1.5042913209370083,-0.13541378753582037
P1-3-JM-NC-R,NC,3,FALSE,Regular,Regular,0.1607703453222904,0.04999888796285586
P1-4-JM-NC-R,NC,4,FALSE,Regular,Regular,-1.0723029341243737,-0.048809923272267824
P1-5-JM-NC-R,NC,5,FALSE,Regular,Regular,-0.32305294569266696,0.06080789000822848
P1-6-JM-NC-R,NC,6,FALSE,Regular,Regular,0.08752074576760807,0.08546451765972046
P1-7-JM-NC-R,NC,7,FALSE,Regular,Regular,0.21348395920707666,0.23408458025565101
P1-1-JM-PC-R,PC,1,FALSE,Regular,Regular,-0.045019614210674574,-0.07629057246345623
P1-2-JM-PC-R,PC,2,TRUE,Outlier,Outlier,0.749100013169008,0.2849312604413904
P1-3-JM-PC-R,PC,3,FALSE,Regular,Regular,0.1814062724992402,0.03529897517651591
P1-4-JM-PC-R,PC,4,FALSE,Regular,Regular,-0.025846345950965608,-0.03418371411720725
P1-5-JM-PC-R,PC,5,TRUE,Outlier,Outlier,-0.47566391452210594,-0.19544430134152552
P1-6-JM-PC-R,PC,6,FALSE,Regular,Regular,0.3076505087037518,0.16216957629168974
P1-7-JM-PC-R,PC,7,FALSE,Regular,Regular,0.1985227193972617,0.2829709410410002
P1-1-JM-G25-R,G25,1,FALSE,Regular,Regular,-0.0751056060427224,0.1423760301712934
P1-2-JM-G25-R,G25,2,FALSE,Regular,Regular,0.555336028377475,0.1989723572686173
P1-3-JM-G25-R,G25,3,FALSE,Regular,Regular,-0.31728630036984146,0.06387484774068909
P1-4-JM-G25-R,G25,4,FALSE,Regular,Regular,0.3261428162545197,0.23356806499357485
P1-5-JM-G25-R,G25,5,FALSE,Regular,Regular,0.20111260834816208,0.1511591686884015
P1-6-JM-G25-R,G25,6,FALSE,Regular,Regular,0.2616011823766859,0.21053165299507567
P1-1-JM-G50-R,G50,1,FALSE,Regular,Regular,0.3265867513249555,0.07819972431689974
P1-2-JM-G50-R,G50,2,FALSE,Regular,Regular,0.8314793082268611,0.10847483130902484
P1-3-JM-G50-R,G50,3,FALSE,Regular,Regular,-0.3185899599760884,-0.0191014090924813
P1-6-JM-G50-R,G50,6,FALSE,Regular,Regular,0.22544966991359125,-0.47084099618671355
P1-7-JM-G50-R,G50,7,FALSE,Regular,Regular,0.8150704469537952,-1.325892187692689
