"sample","Treat","Replicate"
"P1-1-JM-NC-R","NC",1
"P1-2-JM-NC-R","NC",2
"P1-3-JM-NC-R","NC",3
"P1-4-JM-NC-R","NC",4
"P1-5-JM-NC-R","NC",5
"P1-6-JM-NC-R","NC",6
"P1-7-JM-NC-R","NC",7
"P1-1-JM-PC-R","PC",1
"P1-2-JM-PC-R","PC",2
"P1-3-JM-PC-R","PC",3
"P1-4-JM-PC-R","PC",4
"P1-5-JM-PC-R","PC",5
"P1-6-JM-PC-R","PC",6
"P1-7-JM-PC-R","PC",7
"P1-1-JM-G25-R","G25",1
"P1-2-JM-G25-R","G25",2
"P1-3-JM-G25-R","G25",3
"P1-4-JM-G25-R","G25",4
"P1-5-JM-G25-R","G25",5
"P1-6-JM-G25-R","G25",6
"P1-1-JM-G50-R","G50",1
"P1-2-JM-G50-R","G50",2
"P1-3-JM-G50-R","G50",3
"P1-6-JM-G50-R","G50",6
"P1-7-JM-G50-R","G50",7
